id,question,expected_document_1,expected_document_2,ground_truth_type,question_type,expected_answer_summary,usage
eval_015,"Auto Scaling capacity changes are failing and I need a general AWS troubleshooting entry point. Which document is most relevant?",aws_ec2_autoscaling_troubleshooting,,single,single-troubleshooting,"Use the EC2 Auto Scaling troubleshooting chapter for common group launch scaling and configuration issues.",dev
eval_016,"Users see intermittent 5xx responses through an Application Load Balancer. Which AWS document should guide first diagnosis?",aws_alb_troubleshooting,,single,single-troubleshooting,"Use ALB troubleshooting guidance for target health response codes connection failures and load balancer behavior.",dev
eval_017,"Before blaming targets behind an ALB I need request logs and metrics to understand traffic patterns. Which document is relevant?",aws_alb_monitoring,,single,contextual,"Use ALB monitoring features such as CloudWatch metrics access logs connection logs health check logs request tracing and CloudTrail.",dev
eval_018,"An application cannot connect to an RDS DB instance from a client host. Which AWS document should be the main source?",aws_rds_troubleshooting,,single,single-troubleshooting,"Use RDS troubleshooting for DB connectivity causes such as security groups public accessibility port availability and routing.",dev
eval_019,"I need to check whether a network path inside a VPC can reach a destination before changing security groups. Which AWS tool document applies?",aws_vpc_reachability_analyzer,,single,single-conceptual,"Use Reachability Analyzer to reason about whether a source can reach a destination through a VPC path.",dev
eval_020,"A Kubernetes workload uses a feature flag and a password. Which documents distinguish where each value belongs?",k8s_configmaps,k8s_secrets,multi,multi-document,"Use ConfigMaps for non-sensitive configuration and Secrets for sensitive credentials.",dev
eval_021,"A Service shows no ready backends after a rollout and the Pods report readiness probe failures. Which two documents should be used together?",k8s_liveness_readiness_startup_probes,k8s_debug_services,multi,multi-document,"Connect readiness probe behavior with Service endpoint and traffic routing troubleshooting.",dev
eval_022,"A Pod cannot be scheduled and the team suspects resource requests are too high. Which documents should support the investigation?",k8s_debug_pods,k8s_resource_management,multi,multi-document,"Use Pod debugging for scheduling events and resource management for requests limits and allocation behavior.",dev
eval_023,"An ALB target is unhealthy and the Auto Scaling group is replacing instances. Which documents together explain the load balancer and replacement sides?",aws_alb_troubleshooting,aws_ec2_autoscaling_health_checks,multi,multi-document,"Use ALB troubleshooting for target health and Auto Scaling health checks for how ELB health can drive replacement.",dev
eval_024,"An RDS connection issue may be caused by network reachability rather than database state. Which documents should be paired?",aws_rds_troubleshooting,aws_vpc_reachability_analyzer,multi,multi-document,"Use RDS connection troubleshooting with Reachability Analyzer for network path validation.",dev
eval_025,"EKS access fails for a user working on an Auto Mode cluster. Which documents should be considered together?",aws_eks_iam_troubleshooting,aws_eks_auto_mode_troubleshooting,multi,multi-document,"Use EKS IAM troubleshooting for authorization and EKS Auto Mode troubleshooting for Auto Mode specific issues.",dev
eval_026,"A Pod is healthy enough to run but should not receive traffic until dependency checks pass. Which Kubernetes concept separates this from restart behavior?",k8s_liveness_readiness_startup_probes,,single,discrimination,"Distinguish readiness probes from liveness probes and startup probes in traffic readiness and restart behavior.",dev
eval_027,"Should application feature flags be stored in a Secret just because they affect runtime behavior?",k8s_configmaps,,single,discrimination,"Use ConfigMaps for non-confidential configuration and reserve Secrets for sensitive values.",dev
eval_028,"Should I start with ALB monitoring or ALB troubleshooting when I need raw evidence about request patterns before changing target settings?",aws_alb_monitoring,,single,discrimination,"Monitoring is the better source for metrics logs traces and request evidence before detailed remediation.",dev
eval_029,"When an Auto Scaling instance is marked unhealthy should I look at health check type behavior or the specific activity error message first?",aws_ec2_autoscaling_unhealthy_instances,,single,discrimination,"Use unhealthy instance troubleshooting when investigating specific Auto Scaling activity messages and causes.",dev
eval_030,"A cluster operator wants to understand whether logs metrics and traces are separate operational signals. Which Kubernetes document should be retrieved?",k8s_observability,,single,contextual,"Use observability documentation to distinguish operational signals and their role in cluster operation.",dev
eval_031,"A developer expects Kubernetes to preserve container logs forever after restart. Which document explains the logging model and its limits?",k8s_logging_architecture,,single,contextual,"Use logging architecture to explain container log handling node storage and cluster-level collection needs.",dev
eval_032,"A Service name resolves but requests still fail to reach Pods. Which Kubernetes troubleshooting source is most relevant?",k8s_debug_services,,single,single-troubleshooting,"Use Service debugging to inspect selectors endpoints DNS and traffic path issues.",dev
eval_033,"A container starts slowly and liveness checks kill it before it finishes initialization. Which probe type should be investigated?",k8s_liveness_readiness_startup_probes,,single,contextual,"Use startup probe behavior to protect slow starting containers before liveness checks take effect.",dev
eval_034,"Auto Scaling should not immediately replace every unhealthy instance at once during a widespread target failure. Which document explains replacement behavior?",aws_ec2_autoscaling_health_checks,,single,contextual,"Use health check overview for how Auto Scaling minimizes downtime and limits unhealthy instance replacement behavior.",dev
eval_035,"An RDS instance is available but external clients still cannot connect. Which likely network and access settings are described in the corpus?",aws_rds_troubleshooting,,single,single-troubleshooting,"Review security group inbound rules public accessibility port restrictions availability and internet gateway routing.",dev
eval_036,"A team wants to verify whether a source can reach a destination in a VPC without manually reading every route and security rule. Which document applies?",aws_vpc_reachability_analyzer,,single,single-conceptual,"Use Reachability Analyzer for automated VPC reachability path analysis.",dev
eval_037,"How do I register for the AWS Certified Solutions Architect exam next month?",NONE,,out_of_scope,out-of-scope,"The system should not answer because certification scheduling is outside the current troubleshooting corpus.",dev
eval_038,"What is the current monthly price for a specific RDS instance class in Seoul region?",NONE,,out_of_scope,out-of-scope,"The system should not answer because current pricing is outside the corpus and time-sensitive.",dev
eval_039,"How do I fix a Python pandas dataframe merge error in local code?",NONE,,out_of_scope,out-of-scope,"The system should not answer because local programming library errors are outside the CloudOps corpus.",dev
eval_040,"What is the latest Kubernetes CVE announced this week?",NONE,,out_of_scope,out-of-scope,"The system should not answer because current security news is outside the static corpus.",dev
eval_041,"A newly created Pod never leaves Pending and the scheduler appears unable to place it on a node. Which document should be retrieved?",k8s_debug_pods,,single,single-troubleshooting,"Use Pod debugging for scheduler events and reasons a Pod cannot be placed.",test
eval_042,"A container accepts traffic too early and fails user requests during startup. Which Kubernetes probe guidance is most relevant?",k8s_liveness_readiness_startup_probes,,single,contextual,"Use readiness and startup probe behavior to control traffic and startup timing.",test
eval_043,"An operator needs to compare sensitive credentials with ordinary runtime configuration in Kubernetes. Which documents are both relevant?",k8s_configmaps,k8s_secrets,multi,multi-document,"Use ConfigMaps for ordinary configuration and Secrets for sensitive data.",test
eval_044,"An EKS administrator can authenticate but receives permission failures when using cluster APIs. Which AWS document should be retrieved?",aws_eks_iam_troubleshooting,,single,single-troubleshooting,"Use EKS IAM troubleshooting for identity permission and authorization issues.",test
eval_045,"A load balanced application has failing targets and the Auto Scaling group may react to load balancer health. Which documents should be retrieved together?",aws_alb_troubleshooting,aws_ec2_autoscaling_health_checks,multi,multi-document,"Use ALB target troubleshooting with Auto Scaling health check behavior.",test
eval_046,"A database endpoint refuses connections and the team needs to rule out VPC path problems. Which two AWS documents are relevant?",aws_rds_troubleshooting,aws_vpc_reachability_analyzer,multi,multi-document,"Use RDS connection troubleshooting and Reachability Analyzer path checks.",test
eval_047,"A team needs CloudWatch metrics and access logs for an Application Load Balancer before debugging backend code. Which document should be retrieved?",aws_alb_monitoring,,single,contextual,"Use ALB monitoring for CloudWatch metrics logs tracing and operational evidence.",test
eval_048,"A Kubernetes cluster has symptoms across logs metrics and events and the operator wants a high level observability source. Which document applies?",k8s_observability,,single,single-conceptual,"Use observability documentation for the operational signals available for Kubernetes.",test
eval_049,"How do I configure GitHub Actions to deploy a static React site to Pages?",NONE,,out_of_scope,out-of-scope,"The system should not answer because GitHub Actions deployment is outside the current corpus.",test
eval_050,"What is the best laptop to buy for running local LLMs this year?",NONE,,out_of_scope,out-of-scope,"The system should not answer because hardware purchasing advice is outside the corpus.",test
