id,question,ground_truth_type,question_type,expected_document_1,expected_document_2,retrieved_rank_1_doc_id,retrieved_rank_2_doc_id,retrieved_rank_3_doc_id,retrieved_rank_1_score,retrieved_rank_2_score,retrieved_rank_3_score,hit_at_1,hit_at_3,any_hit_at_1,any_hit_at_3,all_hit_at_3,reciprocal_rank,retrieval_latency_ms
eval_014,An Auto Scaling activity says an instance was taken out of service because a health check failed. Which troubleshooting document should be retrieved?,single,single-troubleshooting,aws_ec2_autoscaling_unhealthy_instances,,aws_ec2_autoscaling_unhealthy_instances,aws_ec2_autoscaling_unhealthy_instances,aws_ec2_autoscaling_troubleshooting,0.6530541181564331,0.7052849531173706,0.7065143585205078,1,1,1,1,1,1.0,119.81
eval_015,Auto Scaling capacity changes are failing and I need a general AWS troubleshooting entry point. Which document is most relevant?,single,single-troubleshooting,aws_ec2_autoscaling_troubleshooting,,aws_ec2_autoscaling_troubleshooting,aws_ec2_autoscaling_troubleshooting,aws_ec2_autoscaling_troubleshooting,0.6457995772361755,0.6765938997268677,0.695664644241333,1,1,1,1,1,1.0,140.369
eval_016,Users see intermittent 5xx responses through an Application Load Balancer. Which AWS document should guide first diagnosis?,single,single-troubleshooting,aws_alb_troubleshooting,,aws_alb_troubleshooting,aws_alb_monitoring,aws_alb_troubleshooting,0.7037041187286377,0.7577303051948547,0.8144216537475586,1,1,1,1,1,1.0,123.274
eval_017,Before blaming targets behind an ALB I need request logs and metrics to understand traffic patterns. Which document is relevant?,single,contextual,aws_alb_monitoring,,aws_alb_monitoring,aws_alb_troubleshooting,aws_alb_monitoring,0.839935302734375,0.9053436517715454,0.9165087938308716,1,1,1,1,1,1.0,127.373
eval_018,An application cannot connect to an RDS DB instance from a client host. Which AWS document should be the main source?,single,single-troubleshooting,aws_rds_troubleshooting,,aws_rds_troubleshooting,aws_rds_troubleshooting,aws_rds_troubleshooting,0.8021436929702759,0.8478211164474487,0.8929070234298706,1,1,1,1,1,1.0,132.321
eval_019,I need to check whether a network path inside a VPC can reach a destination before changing security groups. Which AWS tool document applies?,single,single-conceptual,aws_vpc_reachability_analyzer,,aws_eks_auto_mode_troubleshooting,aws_rds_troubleshooting,aws_alb_troubleshooting,0.8699290752410889,0.9727829098701477,0.9816333055496216,0,0,0,0,0,0.14285714285714285,115.792
eval_020,A Kubernetes workload uses a feature flag and a password. Which documents distinguish where each value belongs?,multi,multi-document,k8s_configmaps,k8s_secrets,k8s_secrets,k8s_debug_services,aws_eks_auto_mode_troubleshooting,0.9385755062103271,1.0220308303833008,1.041196584701538,1,1,1,1,0,1.0,132.052
eval_021,A Service shows no ready backends after a rollout and the Pods report readiness probe failures. Which two documents should be used together?,multi,multi-document,k8s_liveness_readiness_startup_probes,k8s_debug_services,k8s_liveness_readiness_startup_probes,k8s_liveness_readiness_startup_probes,k8s_horizontal_pod_autoscaling,0.8555657863616943,0.8635104894638062,0.873501181602478,1,1,1,1,0,1.0,132.055
eval_022,A Pod cannot be scheduled and the team suspects resource requests are too high. Which documents should support the investigation?,multi,multi-document,k8s_debug_pods,k8s_resource_management,k8s_resource_management,k8s_debug_running_pod,k8s_resource_management,0.8217873573303223,0.8484583497047424,0.8512774109840393,1,1,1,1,0,1.0,135.331
eval_023,An ALB target is unhealthy and the Auto Scaling group is replacing instances. Which documents together explain the load balancer and replacement sides?,multi,multi-document,aws_alb_troubleshooting,aws_ec2_autoscaling_health_checks,aws_ec2_autoscaling_unhealthy_instances,aws_ec2_autoscaling_health_checks,aws_ec2_autoscaling_health_checks,0.7770495414733887,0.7803725004196167,0.8015735149383545,0,1,0,1,0,0.5,117.568
eval_024,An RDS connection issue may be caused by network reachability rather than database state. Which documents should be paired?,multi,multi-document,aws_rds_troubleshooting,aws_vpc_reachability_analyzer,aws_rds_troubleshooting,aws_rds_troubleshooting,aws_rds_troubleshooting,0.9338036775588989,0.9943168759346008,1.011857509613037,1,1,1,1,0,1.0,113.553
eval_025,EKS access fails for a user working on an Auto Mode cluster. Which documents should be considered together?,multi,multi-document,aws_eks_iam_troubleshooting,aws_eks_auto_mode_troubleshooting,aws_eks_auto_mode_troubleshooting,aws_eks_auto_mode_troubleshooting,aws_eks_auto_mode_troubleshooting,0.8108888268470764,0.8259435296058655,0.8588337302207947,1,1,1,1,0,1.0,138.694
eval_026,A Pod is healthy enough to run but should not receive traffic until dependency checks pass. Which Kubernetes concept separates this from restart behavior?,single,discrimination,k8s_liveness_readiness_startup_probes,,k8s_liveness_readiness_startup_probes,k8s_liveness_readiness_startup_probes,k8s_horizontal_pod_autoscaling,0.751244306564331,0.856748640537262,0.8671826124191284,1,1,1,1,1,1.0,121.975
eval_027,Should application feature flags be stored in a Secret just because they affect runtime behavior?,single,discrimination,k8s_configmaps,,k8s_secrets,k8s_secrets,k8s_secrets,0.9528266191482544,1.008453607559204,1.064204216003418,0,0,0,0,0,0.0,119.167
eval_028,Should I start with ALB monitoring or ALB troubleshooting when I need raw evidence about request patterns before changing target settings?,single,discrimination,aws_alb_monitoring,,aws_alb_troubleshooting,aws_alb_monitoring,aws_alb_monitoring,1.024985909461975,1.0483312606811523,1.0510178804397583,0,1,0,1,1,0.5,122.493
eval_029,When an Auto Scaling instance is marked unhealthy should I look at health check type behavior or the specific activity error message first?,single,discrimination,aws_ec2_autoscaling_unhealthy_instances,,aws_ec2_autoscaling_health_checks,aws_ec2_autoscaling_unhealthy_instances,aws_ec2_autoscaling_health_checks,0.6983339786529541,0.7130203247070312,0.7310545444488525,0,1,0,1,1,0.5,115.693
eval_030,A cluster operator wants to understand whether logs metrics and traces are separate operational signals. Which Kubernetes document should be retrieved?,single,contextual,k8s_observability,,k8s_observability,k8s_observability,k8s_observability,0.695850670337677,0.822411835193634,0.8880726099014282,1,1,1,1,1,1.0,121.138
eval_031,A developer expects Kubernetes to preserve container logs forever after restart. Which document explains the logging model and its limits?,single,contextual,k8s_logging_architecture,,k8s_logging_architecture,k8s_logging_architecture,k8s_logging_architecture,0.8708665370941162,0.9217731952667236,0.9440231323242188,1,1,1,1,1,1.0,121.025
eval_032,A Service name resolves but requests still fail to reach Pods. Which Kubernetes troubleshooting source is most relevant?,single,single-troubleshooting,k8s_debug_services,,k8s_debug_services,k8s_debug_services,k8s_debug_services,0.7272090315818787,0.7763011455535889,0.7970116138458252,1,1,1,1,1,1.0,115.281
eval_033,A container starts slowly and liveness checks kill it before it finishes initialization. Which probe type should be investigated?,single,contextual,k8s_liveness_readiness_startup_probes,,k8s_liveness_readiness_startup_probes,k8s_liveness_readiness_startup_probes,k8s_liveness_readiness_startup_probes,0.62923264503479,0.6491255760192871,0.6731801629066467,1,1,1,1,1,1.0,109.708
eval_034,Auto Scaling should not immediately replace every unhealthy instance at once during a widespread target failure. Which document explains replacement behavior?,single,contextual,aws_ec2_autoscaling_health_checks,,aws_ec2_autoscaling_health_checks,aws_ec2_autoscaling_health_checks,aws_ec2_autoscaling_health_checks,0.6713449954986572,0.708443284034729,0.7247617244720459,1,1,1,1,1,1.0,118.866
eval_035,An RDS instance is available but external clients still cannot connect. Which likely network and access settings are described in the corpus?,single,single-troubleshooting,aws_rds_troubleshooting,,aws_rds_troubleshooting,aws_rds_troubleshooting,aws_rds_troubleshooting,0.9768260717391968,0.994538426399231,0.9987818598747253,1,1,1,1,1,1.0,117.375
eval_036,A team wants to verify whether a source can reach a destination in a VPC without manually reading every route and security rule. Which document applies?,single,single-conceptual,aws_vpc_reachability_analyzer,,aws_vpc_reachability_analyzer,aws_alb_troubleshooting,aws_eks_auto_mode_troubleshooting,1.0152263641357422,1.0209600925445557,1.0504305362701416,1,1,1,1,1,1.0,124.541
eval_037,How do I register for the AWS Certified Solutions Architect exam next month?,out_of_scope,out-of-scope,NONE,,aws_eks_iam_troubleshooting,aws_alb_troubleshooting,aws_eks_iam_troubleshooting,1.3052306175231934,1.3339555263519287,1.3404208421707153,,,,,,,112.723
eval_038,What is the current monthly price for a specific RDS instance class in Seoul region?,out_of_scope,out-of-scope,NONE,,aws_rds_troubleshooting,aws_rds_troubleshooting,aws_rds_troubleshooting,1.090301752090454,1.0976238250732422,1.122172474861145,,,,,,,116.962
eval_039,How do I fix a Python pandas dataframe merge error in local code?,out_of_scope,out-of-scope,NONE,,k8s_debug_pods,k8s_debug_pods,aws_eks_iam_troubleshooting,1.511426329612732,1.5375481843948364,1.5470263957977295,,,,,,,123.569
eval_040,What is the latest Kubernetes CVE announced this week?,out_of_scope,out-of-scope,NONE,,k8s_resource_management,k8s_secrets,k8s_liveness_readiness_startup_probes,1.0499556064605713,1.0501201152801514,1.0953471660614014,,,,,,,140.779
