variant,id,question,ground_truth_type,question_type,provider,expected_documents,expected_document_1,expected_document_2,retrieved_doc_ids,retrieved_chunk_ids,retrieved_scores,top_1_doc_id,top_3_doc_ids,top_5_doc_ids,reciprocal_rank,retrieval_latency_ms,retrieved_chunk_count,unique_doc_count,duplicate_chunk_count,duplicate_ratio,max_same_document_occupancy,context_character_count,approximate_token_count,hit_at_1,hit_at_3,hit_at_5,any_hit_at_1,any_hit_at_3,any_hit_at_5,all_hit_at_1,all_hit_at_3,all_hit_at_5
baseline,eval_008,A Pod needs a database password without placing it directly in the image or normal config file. Which Kubernetes object should be used?,single,single-conceptual,kubernetes,k8s_secrets,k8s_secrets,,k8s_secrets|k8s_secrets|k8s_secrets|k8s_secrets|k8s_secrets,k8s_secrets::0002|k8s_secrets::0037|k8s_secrets::0000|k8s_secrets::0029|k8s_secrets::0012,0.68943|0.827838|0.857991|0.86076|0.869064,k8s_secrets,k8s_secrets|k8s_secrets|k8s_secrets,k8s_secrets|k8s_secrets|k8s_secrets|k8s_secrets|k8s_secrets,1.0,158.227,5,1,4,0.8,5,4874,1218,1,1,1,1,1,1,1,1,1
cap2,eval_008,A Pod needs a database password without placing it directly in the image or normal config file. Which Kubernetes object should be used?,single,single-conceptual,kubernetes,k8s_secrets,k8s_secrets,,k8s_secrets|k8s_secrets|k8s_configmaps|k8s_configmaps|k8s_logging_architecture,k8s_secrets::0002|k8s_secrets::0037|k8s_configmaps::0003|k8s_configmaps::0000|k8s_logging_architecture::0008,0.68943|0.827838|0.954468|0.998835|1.016733,k8s_secrets,k8s_secrets|k8s_secrets|k8s_configmaps,k8s_secrets|k8s_secrets|k8s_configmaps|k8s_configmaps|k8s_logging_architecture,1.0,158.253,5,3,2,0.4,2,4872,1218,1,1,1,1,1,1,1,1,1
baseline,eval_009,After a container restarts I need to understand where Kubernetes expects application logs to come from. Which document is relevant?,single,contextual,kubernetes,k8s_logging_architecture,k8s_logging_architecture,,k8s_logging_architecture|k8s_logging_architecture|k8s_observability|k8s_troubleshooting_applications|k8s_logging_architecture,k8s_logging_architecture::0000|k8s_logging_architecture::0005|k8s_observability::0003|k8s_troubleshooting_applications::0000|k8s_logging_architecture::0022,0.719543|0.766115|0.895857|0.90236|0.905808,k8s_logging_architecture,k8s_logging_architecture|k8s_logging_architecture|k8s_observability,k8s_logging_architecture|k8s_logging_architecture|k8s_observability|k8s_troubleshooting_applications|k8s_logging_architecture,1.0,148.849,5,3,2,0.4,3,4648,1162,1,1,1,1,1,1,1,1,1
cap2,eval_009,After a container restarts I need to understand where Kubernetes expects application logs to come from. Which document is relevant?,single,contextual,kubernetes,k8s_logging_architecture,k8s_logging_architecture,,k8s_logging_architecture|k8s_logging_architecture|k8s_observability|k8s_troubleshooting_applications|k8s_observability,k8s_logging_architecture::0000|k8s_logging_architecture::0005|k8s_observability::0003|k8s_troubleshooting_applications::0000|k8s_observability::0004,0.719543|0.766115|0.895857|0.90236|0.907221,k8s_logging_architecture,k8s_logging_architecture|k8s_logging_architecture|k8s_observability,k8s_logging_architecture|k8s_logging_architecture|k8s_observability|k8s_troubleshooting_applications|k8s_observability,1.0,148.872,5,3,2,0.4,2,4668,1167,1,1,1,1,1,1,1,1,1
baseline,eval_010,I need a broad view of what signals Kubernetes exposes for operating a cluster. Which document should be retrieved?,single,single-conceptual,kubernetes,k8s_observability,k8s_observability,,k8s_observability|k8s_observability|k8s_observability|k8s_logging_architecture|k8s_observability,k8s_observability::0000|k8s_observability::0004|k8s_observability::0006|k8s_logging_architecture::0022|k8s_observability::0002,0.7869|0.931674|0.953945|0.956981|0.971048,k8s_observability,k8s_observability|k8s_observability|k8s_observability,k8s_observability|k8s_observability|k8s_observability|k8s_logging_architecture|k8s_observability,1.0,136.674,5,2,3,0.6,4,5099,1275,1,1,1,1,1,1,1,1,1
cap2,eval_010,I need a broad view of what signals Kubernetes exposes for operating a cluster. Which document should be retrieved?,single,single-conceptual,kubernetes,k8s_observability,k8s_observability,,k8s_observability|k8s_observability|k8s_logging_architecture|k8s_debug_services|k8s_troubleshooting_applications,k8s_observability::0000|k8s_observability::0004|k8s_logging_architecture::0022|k8s_debug_services::0000|k8s_troubleshooting_applications::0000,0.7869|0.931674|0.956981|1.058584|1.071081,k8s_observability,k8s_observability|k8s_observability|k8s_logging_architecture,k8s_observability|k8s_observability|k8s_logging_architecture|k8s_debug_services|k8s_troubleshooting_applications,1.0,136.699,5,4,1,0.2,2,4651,1163,1,1,1,1,1,1,1,1,1
baseline,eval_011,EKS Auto Mode is not behaving as expected after cluster configuration changes. Which AWS troubleshooting guide should I consult?,single,single-troubleshooting,aws,aws_eks_auto_mode_troubleshooting,aws_eks_auto_mode_troubleshooting,,aws_eks_auto_mode_troubleshooting|aws_eks_auto_mode_troubleshooting|aws_eks_auto_mode_troubleshooting|aws_eks_auto_mode_troubleshooting|aws_eks_auto_mode_troubleshooting,aws_eks_auto_mode_troubleshooting::0000|aws_eks_auto_mode_troubleshooting::0016|aws_eks_auto_mode_troubleshooting::0029|aws_eks_auto_mode_troubleshooting::0011|aws_eks_auto_mode_troubleshooting::0013,0.507973|0.632087|0.689947|0.715208|0.721787,aws_eks_auto_mode_troubleshooting,aws_eks_auto_mode_troubleshooting|aws_eks_auto_mode_troubleshooting|aws_eks_auto_mode_troubleshooting,aws_eks_auto_mode_troubleshooting|aws_eks_auto_mode_troubleshooting|aws_eks_auto_mode_troubleshooting|aws_eks_auto_mode_troubleshooting|aws_eks_auto_mode_troubleshooting,1.0,142.74,5,1,4,0.8,5,5118,1280,1,1,1,1,1,1,1,1,1
cap2,eval_011,EKS Auto Mode is not behaving as expected after cluster configuration changes. Which AWS troubleshooting guide should I consult?,single,single-troubleshooting,aws,aws_eks_auto_mode_troubleshooting,aws_eks_auto_mode_troubleshooting,,aws_eks_auto_mode_troubleshooting|aws_eks_auto_mode_troubleshooting|aws_eks_iam_troubleshooting|aws_ec2_autoscaling_troubleshooting|aws_eks_iam_troubleshooting,aws_eks_auto_mode_troubleshooting::0000|aws_eks_auto_mode_troubleshooting::0016|aws_eks_iam_troubleshooting::0000|aws_ec2_autoscaling_troubleshooting::0000|aws_eks_iam_troubleshooting::0001,0.507973|0.632087|0.762194|0.900454|0.919176,aws_eks_auto_mode_troubleshooting,aws_eks_auto_mode_troubleshooting|aws_eks_auto_mode_troubleshooting|aws_eks_iam_troubleshooting,aws_eks_auto_mode_troubleshooting|aws_eks_auto_mode_troubleshooting|aws_eks_iam_troubleshooting|aws_ec2_autoscaling_troubleshooting|aws_eks_iam_troubleshooting,1.0,142.771,5,3,2,0.4,2,5119,1280,1,1,1,1,1,1,1,1,1
baseline,eval_012,An EKS user receives an authorization error while trying to access cluster resources. Which document should be the primary source?,single,single-troubleshooting,aws,aws_eks_iam_troubleshooting,aws_eks_iam_troubleshooting,,aws_eks_iam_troubleshooting|aws_eks_iam_troubleshooting|aws_eks_iam_troubleshooting|aws_eks_iam_troubleshooting|aws_eks_auto_mode_troubleshooting,aws_eks_iam_troubleshooting::0001|aws_eks_iam_troubleshooting::0000|aws_eks_iam_troubleshooting::0002|aws_eks_iam_troubleshooting::0004|aws_eks_auto_mode_troubleshooting::0029,0.775835|0.808262|0.931318|0.951566|0.962866,aws_eks_iam_troubleshooting,aws_eks_iam_troubleshooting|aws_eks_iam_troubleshooting|aws_eks_iam_troubleshooting,aws_eks_iam_troubleshooting|aws_eks_iam_troubleshooting|aws_eks_iam_troubleshooting|aws_eks_iam_troubleshooting|aws_eks_auto_mode_troubleshooting,1.0,131.395,5,2,3,0.6,4,5118,1280,1,1,1,1,1,1,1,1,1
cap2,eval_012,An EKS user receives an authorization error while trying to access cluster resources. Which document should be the primary source?,single,single-troubleshooting,aws,aws_eks_iam_troubleshooting,aws_eks_iam_troubleshooting,,aws_eks_iam_troubleshooting|aws_eks_iam_troubleshooting|aws_eks_auto_mode_troubleshooting|aws_eks_auto_mode_troubleshooting|k8s_secrets,aws_eks_iam_troubleshooting::0001|aws_eks_iam_troubleshooting::0000|aws_eks_auto_mode_troubleshooting::0029|aws_eks_auto_mode_troubleshooting::0016|k8s_secrets::0035,0.775835|0.808262|0.962866|1.030207|1.078113,aws_eks_iam_troubleshooting,aws_eks_iam_troubleshooting|aws_eks_iam_troubleshooting|aws_eks_auto_mode_troubleshooting,aws_eks_iam_troubleshooting|aws_eks_iam_troubleshooting|aws_eks_auto_mode_troubleshooting|aws_eks_auto_mode_troubleshooting|k8s_secrets,1.0,131.427,5,3,2,0.4,2,5118,1280,1,1,1,1,1,1,1,1,1
baseline,eval_013,An Auto Scaling group replaces instances and I need to understand which health checks can trigger that behavior. Which document explains this?,single,discrimination,aws,aws_ec2_autoscaling_health_checks,aws_ec2_autoscaling_health_checks,,aws_ec2_autoscaling_health_checks|aws_ec2_autoscaling_health_checks|aws_ec2_autoscaling_health_checks|aws_ec2_autoscaling_health_checks|aws_ec2_autoscaling_health_checks,aws_ec2_autoscaling_health_checks::0000|aws_ec2_autoscaling_health_checks::0001|aws_ec2_autoscaling_health_checks::0007|aws_ec2_autoscaling_health_checks::0016|aws_ec2_autoscaling_health_checks::0004,0.587794|0.638384|0.659811|0.676497|0.69091,aws_ec2_autoscaling_health_checks,aws_ec2_autoscaling_health_checks|aws_ec2_autoscaling_health_checks|aws_ec2_autoscaling_health_checks,aws_ec2_autoscaling_health_checks|aws_ec2_autoscaling_health_checks|aws_ec2_autoscaling_health_checks|aws_ec2_autoscaling_health_checks|aws_ec2_autoscaling_health_checks,1.0,121.746,5,1,4,0.8,5,5115,1279,1,1,1,1,1,1,1,1,1
cap2,eval_013,An Auto Scaling group replaces instances and I need to understand which health checks can trigger that behavior. Which document explains this?,single,discrimination,aws,aws_ec2_autoscaling_health_checks,aws_ec2_autoscaling_health_checks,,aws_ec2_autoscaling_health_checks|aws_ec2_autoscaling_health_checks|aws_ec2_autoscaling_troubleshooting|aws_ec2_autoscaling_unhealthy_instances|aws_ec2_autoscaling_unhealthy_instances,aws_ec2_autoscaling_health_checks::0000|aws_ec2_autoscaling_health_checks::0001|aws_ec2_autoscaling_troubleshooting::0011|aws_ec2_autoscaling_unhealthy_instances::0011|aws_ec2_autoscaling_unhealthy_instances::0008,0.587794|0.638384|0.70731|0.76641|0.831448,aws_ec2_autoscaling_health_checks,aws_ec2_autoscaling_health_checks|aws_ec2_autoscaling_health_checks|aws_ec2_autoscaling_troubleshooting,aws_ec2_autoscaling_health_checks|aws_ec2_autoscaling_health_checks|aws_ec2_autoscaling_troubleshooting|aws_ec2_autoscaling_unhealthy_instances|aws_ec2_autoscaling_unhealthy_instances,1.0,121.777,5,3,2,0.4,2,4987,1247,1,1,1,1,1,1,1,1,1
baseline,eval_014,An Auto Scaling activity says an instance was taken out of service because a health check failed. Which troubleshooting document should be retrieved?,single,single-troubleshooting,aws,aws_ec2_autoscaling_unhealthy_instances,aws_ec2_autoscaling_unhealthy_instances,,aws_ec2_autoscaling_unhealthy_instances|aws_ec2_autoscaling_unhealthy_instances|aws_ec2_autoscaling_unhealthy_instances|aws_ec2_autoscaling_health_checks|aws_ec2_autoscaling_health_checks,aws_ec2_autoscaling_unhealthy_instances::0000|aws_ec2_autoscaling_unhealthy_instances::0001|aws_ec2_autoscaling_unhealthy_instances::0003|aws_ec2_autoscaling_health_checks::0004|aws_ec2_autoscaling_health_checks::0001,0.645588|0.677888|0.689415|0.735056|0.740671,aws_ec2_autoscaling_unhealthy_instances,aws_ec2_autoscaling_unhealthy_instances|aws_ec2_autoscaling_unhealthy_instances|aws_ec2_autoscaling_unhealthy_instances,aws_ec2_autoscaling_unhealthy_instances|aws_ec2_autoscaling_unhealthy_instances|aws_ec2_autoscaling_unhealthy_instances|aws_ec2_autoscaling_health_checks|aws_ec2_autoscaling_health_checks,1.0,135.548,5,2,3,0.6,3,5118,1280,1,1,1,1,1,1,1,1,1
cap2,eval_014,An Auto Scaling activity says an instance was taken out of service because a health check failed. Which troubleshooting document should be retrieved?,single,single-troubleshooting,aws,aws_ec2_autoscaling_unhealthy_instances,aws_ec2_autoscaling_unhealthy_instances,,aws_ec2_autoscaling_unhealthy_instances|aws_ec2_autoscaling_unhealthy_instances|aws_ec2_autoscaling_health_checks|aws_ec2_autoscaling_health_checks|aws_ec2_autoscaling_troubleshooting,aws_ec2_autoscaling_unhealthy_instances::0000|aws_ec2_autoscaling_unhealthy_instances::0001|aws_ec2_autoscaling_health_checks::0004|aws_ec2_autoscaling_health_checks::0001|aws_ec2_autoscaling_troubleshooting::0011,0.645588|0.677888|0.735056|0.740671|0.776704,aws_ec2_autoscaling_unhealthy_instances,aws_ec2_autoscaling_unhealthy_instances|aws_ec2_autoscaling_unhealthy_instances|aws_ec2_autoscaling_health_checks,aws_ec2_autoscaling_unhealthy_instances|aws_ec2_autoscaling_unhealthy_instances|aws_ec2_autoscaling_health_checks|aws_ec2_autoscaling_health_checks|aws_ec2_autoscaling_troubleshooting,1.0,135.571,5,3,2,0.4,2,5118,1280,1,1,1,1,1,1,1,1,1
baseline,eval_015,Auto Scaling capacity changes are failing and I need a general AWS troubleshooting entry point. Which document is most relevant?,single,single-troubleshooting,aws,aws_ec2_autoscaling_troubleshooting,aws_ec2_autoscaling_troubleshooting,,aws_ec2_autoscaling_troubleshooting|aws_ec2_autoscaling_unhealthy_instances|aws_ec2_autoscaling_troubleshooting|aws_ec2_autoscaling_troubleshooting|aws_ec2_autoscaling_troubleshooting,aws_ec2_autoscaling_troubleshooting::0000|aws_ec2_autoscaling_unhealthy_instances::0007|aws_ec2_autoscaling_troubleshooting::0001|aws_ec2_autoscaling_troubleshooting::0012|aws_ec2_autoscaling_troubleshooting::0010,0.711624|0.758435|0.761943|0.780167|0.804027,aws_ec2_autoscaling_troubleshooting,aws_ec2_autoscaling_troubleshooting|aws_ec2_autoscaling_unhealthy_instances|aws_ec2_autoscaling_troubleshooting,aws_ec2_autoscaling_troubleshooting|aws_ec2_autoscaling_unhealthy_instances|aws_ec2_autoscaling_troubleshooting|aws_ec2_autoscaling_troubleshooting|aws_ec2_autoscaling_troubleshooting,1.0,125.32,5,2,3,0.6,4,5118,1280,1,1,1,1,1,1,1,1,1
cap2,eval_015,Auto Scaling capacity changes are failing and I need a general AWS troubleshooting entry point. Which document is most relevant?,single,single-troubleshooting,aws,aws_ec2_autoscaling_troubleshooting,aws_ec2_autoscaling_troubleshooting,,aws_ec2_autoscaling_troubleshooting|aws_ec2_autoscaling_unhealthy_instances|aws_ec2_autoscaling_troubleshooting|aws_ec2_autoscaling_unhealthy_instances|aws_ec2_autoscaling_health_checks,aws_ec2_autoscaling_troubleshooting::0000|aws_ec2_autoscaling_unhealthy_instances::0007|aws_ec2_autoscaling_troubleshooting::0001|aws_ec2_autoscaling_unhealthy_instances::0000|aws_ec2_autoscaling_health_checks::0003,0.711624|0.758435|0.761943|0.848069|0.888146,aws_ec2_autoscaling_troubleshooting,aws_ec2_autoscaling_troubleshooting|aws_ec2_autoscaling_unhealthy_instances|aws_ec2_autoscaling_troubleshooting,aws_ec2_autoscaling_troubleshooting|aws_ec2_autoscaling_unhealthy_instances|aws_ec2_autoscaling_troubleshooting|aws_ec2_autoscaling_unhealthy_instances|aws_ec2_autoscaling_health_checks,1.0,125.349,5,3,2,0.4,2,5120,1280,1,1,1,1,1,1,1,1,1
baseline,eval_016,Users see intermittent 5xx responses through an Application Load Balancer. Which AWS document should guide first diagnosis?,single,single-troubleshooting,aws,aws_alb_troubleshooting,aws_alb_troubleshooting,,aws_alb_troubleshooting|aws_alb_monitoring|aws_alb_monitoring|aws_alb_troubleshooting|aws_alb_monitoring,aws_alb_troubleshooting::0000|aws_alb_monitoring::0002|aws_alb_monitoring::0001|aws_alb_troubleshooting::0001|aws_alb_monitoring::0000,0.674474|0.72125|0.744212|0.783331|0.789184,aws_alb_troubleshooting,aws_alb_troubleshooting|aws_alb_monitoring|aws_alb_monitoring,aws_alb_troubleshooting|aws_alb_monitoring|aws_alb_monitoring|aws_alb_troubleshooting|aws_alb_monitoring,1.0,140.043,5,2,3,0.6,3,4918,1230,1,1,1,1,1,1,1,1,1
