variant,id,question,ground_truth_type,question_type,provider,expected_documents,expected_document_1,expected_document_2,retrieved_doc_ids,retrieved_chunk_ids,retrieved_scores,top_1_doc_id,top_3_doc_ids,top_5_doc_ids,reciprocal_rank,retrieval_latency_ms,retrieved_chunk_count,unique_doc_count,duplicate_chunk_count,duplicate_ratio,max_same_document_occupancy,context_character_count,approximate_token_count,hit_at_1,hit_at_3,hit_at_5,any_hit_at_1,any_hit_at_3,any_hit_at_5,all_hit_at_1,all_hit_at_3,all_hit_at_5
baseline,divval_006,CPU usage is high but my Deployment does not add more replicas. Which Kubernetes autoscaling document should I use to inspect metric targets and scaling behavior?,single,contextual,kubernetes,k8s_horizontal_pod_autoscaling,k8s_horizontal_pod_autoscaling,,k8s_horizontal_pod_autoscaling|k8s_horizontal_pod_autoscaling|k8s_horizontal_pod_autoscaling|k8s_horizontal_pod_autoscaling|k8s_horizontal_pod_autoscaling,k8s_horizontal_pod_autoscaling::0016|k8s_horizontal_pod_autoscaling::0002|k8s_horizontal_pod_autoscaling::0020|k8s_horizontal_pod_autoscaling::0021|k8s_horizontal_pod_autoscaling::0007,0.750987|0.801675|0.826711|0.827526|0.82773,k8s_horizontal_pod_autoscaling,k8s_horizontal_pod_autoscaling|k8s_horizontal_pod_autoscaling|k8s_horizontal_pod_autoscaling,k8s_horizontal_pod_autoscaling|k8s_horizontal_pod_autoscaling|k8s_horizontal_pod_autoscaling|k8s_horizontal_pod_autoscaling|k8s_horizontal_pod_autoscaling,1.0,145.097,5,1,4,0.8,5,5118,1280,1,1,1,1,1,1,1,1,1
cap2,divval_006,CPU usage is high but my Deployment does not add more replicas. Which Kubernetes autoscaling document should I use to inspect metric targets and scaling behavior?,single,contextual,kubernetes,k8s_horizontal_pod_autoscaling,k8s_horizontal_pod_autoscaling,,k8s_horizontal_pod_autoscaling|k8s_horizontal_pod_autoscaling|k8s_debug_running_pod|k8s_debug_running_pod,k8s_horizontal_pod_autoscaling::0016|k8s_horizontal_pod_autoscaling::0002|k8s_debug_running_pod::0012|k8s_debug_running_pod::0008,0.750987|0.801675|0.911944|0.936664,k8s_horizontal_pod_autoscaling,k8s_horizontal_pod_autoscaling|k8s_horizontal_pod_autoscaling|k8s_debug_running_pod,k8s_horizontal_pod_autoscaling|k8s_horizontal_pod_autoscaling|k8s_debug_running_pod|k8s_debug_running_pod,1.0,145.129,4,2,2,0.5,2,4094,1024,1,1,1,1,1,1,1,1,1
baseline,divval_007,"A workload is repeatedly terminated after memory pressure, and I need to understand whether requests and limits are involved. Which document is the best grounding source?",single,single-troubleshooting,kubernetes,k8s_resource_management,k8s_resource_management,,k8s_resource_management|k8s_resource_management|k8s_resource_management|k8s_resource_management|k8s_resource_management,k8s_resource_management::0014|k8s_resource_management::0002|k8s_resource_management::0013|k8s_resource_management::0035|k8s_resource_management::0001,0.925292|0.957571|0.971208|1.001111|1.041337,k8s_resource_management,k8s_resource_management|k8s_resource_management|k8s_resource_management,k8s_resource_management|k8s_resource_management|k8s_resource_management|k8s_resource_management|k8s_resource_management,1.0,136.15,5,1,4,0.8,5,5118,1280,1,1,1,1,1,1,1,1,1
cap2,divval_007,"A workload is repeatedly terminated after memory pressure, and I need to understand whether requests and limits are involved. Which document is the best grounding source?",single,single-troubleshooting,kubernetes,k8s_resource_management,k8s_resource_management,,k8s_resource_management|k8s_resource_management|aws_alb_troubleshooting|aws_eks_auto_mode_troubleshooting|aws_ec2_autoscaling_troubleshooting,k8s_resource_management::0014|k8s_resource_management::0002|aws_alb_troubleshooting::0025|aws_eks_auto_mode_troubleshooting::0027|aws_ec2_autoscaling_troubleshooting::0012,0.925292|0.957571|1.135548|1.153603|1.156323,k8s_resource_management,k8s_resource_management|k8s_resource_management|aws_alb_troubleshooting,k8s_resource_management|k8s_resource_management|aws_alb_troubleshooting|aws_eks_auto_mode_troubleshooting|aws_ec2_autoscaling_troubleshooting,1.0,136.179,5,4,1,0.2,2,5117,1279,1,1,1,1,1,1,1,1,1
baseline,divval_008,"After a node restart, I need to reason about where container logs come from and how cluster logging should collect them. Which Kubernetes document should ground the answer?",single,contextual,kubernetes,k8s_logging_architecture,k8s_logging_architecture,,k8s_logging_architecture|k8s_logging_architecture|k8s_observability|k8s_observability|k8s_logging_architecture,k8s_logging_architecture::0000|k8s_logging_architecture::0012|k8s_observability::0003|k8s_observability::0004|k8s_logging_architecture::0001,0.745823|0.834824|0.842528|0.8482|0.895636,k8s_logging_architecture,k8s_logging_architecture|k8s_logging_architecture|k8s_observability,k8s_logging_architecture|k8s_logging_architecture|k8s_observability|k8s_observability|k8s_logging_architecture,1.0,251.775,5,2,3,0.6,3,5118,1280,1,1,1,1,1,1,1,1,1
cap2,divval_008,"After a node restart, I need to reason about where container logs come from and how cluster logging should collect them. Which Kubernetes document should ground the answer?",single,contextual,kubernetes,k8s_logging_architecture,k8s_logging_architecture,,k8s_logging_architecture|k8s_logging_architecture|k8s_observability|k8s_observability|k8s_troubleshooting_applications,k8s_logging_architecture::0000|k8s_logging_architecture::0012|k8s_observability::0003|k8s_observability::0004|k8s_troubleshooting_applications::0000,0.745823|0.834824|0.842528|0.8482|1.005943,k8s_logging_architecture,k8s_logging_architecture|k8s_logging_architecture|k8s_observability,k8s_logging_architecture|k8s_logging_architecture|k8s_observability|k8s_observability|k8s_troubleshooting_applications,1.0,251.796,5,3,2,0.4,2,4669,1167,1,1,1,1,1,1,1,1,1
baseline,divval_009,A user can authenticate to an EKS cluster but still cannot perform an action. Which AWS troubleshooting document should I use to separate identity from authorization problems?,single,similar-concept-discrimination,aws,aws_eks_iam_troubleshooting,aws_eks_iam_troubleshooting,,aws_eks_iam_troubleshooting|aws_eks_iam_troubleshooting|aws_eks_auto_mode_troubleshooting|aws_eks_auto_mode_troubleshooting|aws_eks_iam_troubleshooting,aws_eks_iam_troubleshooting::0000|aws_eks_iam_troubleshooting::0001|aws_eks_auto_mode_troubleshooting::0000|aws_eks_auto_mode_troubleshooting::0029|aws_eks_iam_troubleshooting::0004,0.660468|0.798291|0.823177|0.853683|0.855227,aws_eks_iam_troubleshooting,aws_eks_iam_troubleshooting|aws_eks_iam_troubleshooting|aws_eks_auto_mode_troubleshooting,aws_eks_iam_troubleshooting|aws_eks_iam_troubleshooting|aws_eks_auto_mode_troubleshooting|aws_eks_auto_mode_troubleshooting|aws_eks_iam_troubleshooting,1.0,160.851,5,2,3,0.6,3,5119,1280,1,1,1,1,1,1,1,1,1
cap2,divval_009,A user can authenticate to an EKS cluster but still cannot perform an action. Which AWS troubleshooting document should I use to separate identity from authorization problems?,single,similar-concept-discrimination,aws,aws_eks_iam_troubleshooting,aws_eks_iam_troubleshooting,,aws_eks_iam_troubleshooting|aws_eks_iam_troubleshooting|aws_eks_auto_mode_troubleshooting|aws_eks_auto_mode_troubleshooting|aws_rds_troubleshooting,aws_eks_iam_troubleshooting::0000|aws_eks_iam_troubleshooting::0001|aws_eks_auto_mode_troubleshooting::0000|aws_eks_auto_mode_troubleshooting::0029|aws_rds_troubleshooting::0015,0.660468|0.798291|0.823177|0.853683|1.031346,aws_eks_iam_troubleshooting,aws_eks_iam_troubleshooting|aws_eks_iam_troubleshooting|aws_eks_auto_mode_troubleshooting,aws_eks_iam_troubleshooting|aws_eks_iam_troubleshooting|aws_eks_auto_mode_troubleshooting|aws_eks_auto_mode_troubleshooting|aws_rds_troubleshooting,1.0,160.88,5,3,2,0.4,2,5120,1280,1,1,1,1,1,1,1,1,1
baseline,divval_010,"Targets behind an Application Load Balancer are unhealthy, and instances may be replaced after health checks fail. Which AWS documents should I retrieve together?",multi,multi-document,aws,aws_alb_troubleshooting|aws_ec2_autoscaling_health_checks,aws_alb_troubleshooting,aws_ec2_autoscaling_health_checks,aws_alb_monitoring|aws_alb_troubleshooting|aws_ec2_autoscaling_health_checks|aws_alb_troubleshooting|aws_alb_monitoring,aws_alb_monitoring::0001|aws_alb_troubleshooting::0034|aws_ec2_autoscaling_health_checks::0009|aws_alb_troubleshooting::0036|aws_alb_monitoring::0000,0.72651|0.74413|0.744607|0.747324|0.751598,aws_alb_monitoring,aws_alb_monitoring|aws_alb_troubleshooting|aws_ec2_autoscaling_health_checks,aws_alb_monitoring|aws_alb_troubleshooting|aws_ec2_autoscaling_health_checks|aws_alb_troubleshooting|aws_alb_monitoring,0.5,144.889,5,3,2,0.4,2,5117,1279,0,1,1,0,1,1,0,1,1
cap2,divval_010,"Targets behind an Application Load Balancer are unhealthy, and instances may be replaced after health checks fail. Which AWS documents should I retrieve together?",multi,multi-document,aws,aws_alb_troubleshooting|aws_ec2_autoscaling_health_checks,aws_alb_troubleshooting,aws_ec2_autoscaling_health_checks,aws_alb_monitoring|aws_alb_troubleshooting|aws_ec2_autoscaling_health_checks|aws_alb_troubleshooting|aws_alb_monitoring,aws_alb_monitoring::0001|aws_alb_troubleshooting::0034|aws_ec2_autoscaling_health_checks::0009|aws_alb_troubleshooting::0036|aws_alb_monitoring::0000,0.72651|0.74413|0.744607|0.747324|0.751598,aws_alb_monitoring,aws_alb_monitoring|aws_alb_troubleshooting|aws_ec2_autoscaling_health_checks,aws_alb_monitoring|aws_alb_troubleshooting|aws_ec2_autoscaling_health_checks|aws_alb_troubleshooting|aws_alb_monitoring,0.5,144.917,5,3,2,0.4,2,5117,1279,0,1,1,0,1,1,0,1,1
baseline,divval_011,"An application cannot connect to RDS, and I need to distinguish database-side troubleshooting from network path analysis. Which documents should support the investigation?",multi,multi-document,aws,aws_rds_troubleshooting|aws_vpc_reachability_analyzer,aws_rds_troubleshooting,aws_vpc_reachability_analyzer,aws_rds_troubleshooting|aws_rds_troubleshooting|aws_rds_troubleshooting|aws_rds_troubleshooting|aws_rds_troubleshooting,aws_rds_troubleshooting::0000|aws_rds_troubleshooting::0019|aws_rds_troubleshooting::0001|aws_rds_troubleshooting::0012|aws_rds_troubleshooting::0014,0.798893|0.829326|0.885799|0.981553|0.991715,aws_rds_troubleshooting,aws_rds_troubleshooting|aws_rds_troubleshooting|aws_rds_troubleshooting,aws_rds_troubleshooting|aws_rds_troubleshooting|aws_rds_troubleshooting|aws_rds_troubleshooting|aws_rds_troubleshooting,1.0,135.902,5,1,4,0.8,5,5120,1280,1,1,1,1,1,1,0,0,0
cap2,divval_011,"An application cannot connect to RDS, and I need to distinguish database-side troubleshooting from network path analysis. Which documents should support the investigation?",multi,multi-document,aws,aws_rds_troubleshooting|aws_vpc_reachability_analyzer,aws_rds_troubleshooting,aws_vpc_reachability_analyzer,aws_rds_troubleshooting|aws_rds_troubleshooting|aws_eks_auto_mode_troubleshooting|aws_alb_troubleshooting|aws_ec2_autoscaling_troubleshooting,aws_rds_troubleshooting::0000|aws_rds_troubleshooting::0019|aws_eks_auto_mode_troubleshooting::0021|aws_alb_troubleshooting::0000|aws_ec2_autoscaling_troubleshooting::0013,0.798893|0.829326|1.067765|1.093935|1.096495,aws_rds_troubleshooting,aws_rds_troubleshooting|aws_rds_troubleshooting|aws_eks_auto_mode_troubleshooting,aws_rds_troubleshooting|aws_rds_troubleshooting|aws_eks_auto_mode_troubleshooting|aws_alb_troubleshooting|aws_ec2_autoscaling_troubleshooting,1.0,135.932,5,4,1,0.2,2,4799,1200,1,1,1,1,1,1,0,0,0
baseline,divval_012,How should I optimize a React JavaScript bundle for browser performance?,out_of_scope,out-of-scope,out_of_scope,,,,k8s_resource_management|aws_alb_troubleshooting|k8s_resource_management|k8s_observability|k8s_resource_management,k8s_resource_management::0003|aws_alb_troubleshooting::0000|k8s_resource_management::0017|k8s_observability::0007|k8s_resource_management::0029,1.489912|1.495812|1.50629|1.50847|1.50895,k8s_resource_management,k8s_resource_management|aws_alb_troubleshooting|k8s_resource_management,k8s_resource_management|aws_alb_troubleshooting|k8s_resource_management|k8s_observability|k8s_resource_management,,132.82,5,3,2,0.4,3,5118,1280,,,,,,,,,
cap2,divval_012,How should I optimize a React JavaScript bundle for browser performance?,out_of_scope,out-of-scope,out_of_scope,,,,k8s_resource_management|aws_alb_troubleshooting|k8s_resource_management|k8s_observability|k8s_debug_services,k8s_resource_management::0003|aws_alb_troubleshooting::0000|k8s_resource_management::0017|k8s_observability::0007|k8s_debug_services::0030,1.489912|1.495812|1.50629|1.50847|1.514409,k8s_resource_management,k8s_resource_management|aws_alb_troubleshooting|k8s_resource_management,k8s_resource_management|aws_alb_troubleshooting|k8s_resource_management|k8s_observability|k8s_debug_services,,132.843,5,4,1,0.2,2,5119,1280,,,,,,,,,
